User_id,Username,Gender,Repo_id,commit_date,Project_size,Project_Tenure
640469,ekulos,male,3699485,12/3/2016,Small,One Year
6616401,dmolesUC,male,3722938,11/19/2015,Small,One Year
7858433,gsarris,male,3728862,4/22/2015,Middle,Two Years
31134142,thanasisrig,male,3728862,9/21/2016,Middle,Two Years
640469,ekulos,male,3751459,12/3/2016,Small,One Year
6971106,bernadettespieler,female,3758371,9/13/2016,Small,One Year
640469,ekulos,male,3815087,12/3/2016,Small,One Year
6836847,jeremiah-de,male,3832223,1/21/2016,Small,One Year
7781901,thewassermann,male,3842864,10/1/2016,Small,One Year
640469,ekulos,male,3853300,12/3/2016,Small,One Year
640469,ekulos,male,3862271,12/3/2016,Small,One Year
7858681,patrickbrandao,male,3891286,6/29/2015,Small,One Year
6635086,blefort-uo,male,3930127,1/12/2015,Small,One Year
13694251,marcello-silverstripe,male,3959432,6/2/2016,Small,One Year
640469,ekulos,male,3964854,12/3/2016,Small,One Year
7348384,eric-laporte,male,3974454,6/22/2015,Small,One Year
8081943,jmangeruga-technisys,male,3981651,5/11/2015,Small,One Year
640469,ekulos,male,3986799,12/3/2016,Small,One Year
7706039,nonsns,male,3995752,11/5/2015,Small,One Year
6836847,jeremiah-de,male,4124366,1/21/2016,Small,One Year
7048301,davebx,male,4126739,2/18/2015,Small,One Year
6642362,jahmann9,male,4162388,7/7/2016,Small,One Year
640469,ekulos,male,4187907,12/3/2016,Small,One Year
32441938,ericcfields,male,4214638,11/17/2016,Small,One Year
6635086,blefort-uo,male,4219321,1/12/2015,Small,One Year
7781901,thewassermann,male,4268134,10/1/2016,Small,One Year
7781901,thewassermann,male,4271580,10/1/2016,Small,One Year
640469,ekulos,male,4272525,12/3/2016,Small,One Year
640469,ekulos,male,4378219,12/3/2016,Small,One Year
11611740,lcrem,female,4434724,6/16/2016,Small,One Year
640469,ekulos,male,4457557,12/3/2016,Small,One Year
640469,ekulos,male,4465837,12/3/2016,Small,One Year
6761342,chilbert,male,4470847,5/16/2016,Small,One Year
640469,ekulos,male,4477092,12/3/2016,Small,One Year
640469,ekulos,male,4519267,12/3/2016,Small,One Year
7590556,jsweitz,male,4556281,3/31/2015,Small,One Year
31869681,lvampa,male,4612447,10/21/2016,Small,One Year
31869681,lvampa,male,4612724,10/21/2016,Small,One Year
640469,ekulos,male,4632251,12/3/2016,Small,One Year
640469,ekulos,male,4668512,12/3/2016,Small,One Year
7027136,PanteraLX,male,4683132,12/8/2016,Small,One Year
9332222,tessavitabile,female,4831070,2/11/2016,Small,One Year
31252683,jwylie01,female,4869439,11/1/2016,Small,One Year
8151841,dorofeng,female,4984477,10/11/2016,Small,One Year
608616,mpbelhorn,male,5001522,5/7/2015,Small,One Year
640469,ekulos,male,5081663,12/3/2016,Small,One Year
7323985,sakoumi,male,5097313,3/10/2015,Small,One Year
640469,ekulos,male,5115110,12/3/2016,Small,One Year
6750122,chip-factual,male,5118329,8/30/2015,Small,One Year
31869681,lvampa,male,5123699,10/21/2016,Small,One Year
7290717,Branlute,male,5147170,3/7/2015,Small,One Year
640469,ekulos,male,5153910,12/3/2016,Small,One Year
6964720,hansemannn,male,5169031,10/28/2016,Small,One Year
640469,ekulos,male,5169646,12/3/2016,Small,One Year
6628691,antru6,male,5215747,1/29/2015,Small,One Year
6628691,antru6,male,5224862,12/4/2015,Small,One Year
8128553,abethman,male,5229373,4/2/2016,Small,One Year
1025081,mlippautz,male,5279230,2/3/2016,Small,One Year
9692893,nforro,male,5293489,11/2/2015,Small,One Year
7914733,segantii-alex-falkowski,male,5319027,12/14/2016,Small,One Year
640469,ekulos,male,5328592,12/3/2016,Small,One Year
30476076,jhailman,male,5334104,9/14/2016,Small,One Year
7061526,ghislain-roy,male,5334457,2/19/2015,Small,One Year
1025081,mlippautz,male,5354642,2/3/2016,Small,One Year
640469,ekulos,male,5365625,12/3/2016,Small,One Year
6947159,neveritt,male,5387338,2/9/2015,Small,One Year
1025081,mlippautz,male,5434765,2/3/2016,Small,One Year
6635083,dsouthwick,male,5561973,5/17/2016,Small,One Year
8021246,dco-lentz,male,5580984,11/21/2015,Small,One Year
640469,ekulos,male,5601846,12/3/2016,Small,One Year
7278115,ahazeb,male,5625066,3/6/2015,Small,One Year
7027136,PanteraLX,male,5635754,12/8/2016,Small,One Year
7285207,rangernathan,male,5672388,7/6/2016,Small,One Year
640469,ekulos,male,5703723,12/3/2016,Small,One Year
10793766,seandoesgis,male,5724737,2/1/2016,Small,One Year
640469,ekulos,male,5751622,12/3/2016,Small,One Year
11998019,Spell28,male,5785434,3/16/2016,Small,One Year
7101063,wolfmaul,male,5802012,9/16/2016,Small,One Year
6798828,tobiashofmann88,male,5823826,11/18/2015,Small,One Year
32049184,LarsDC,male,5841831,12/21/2016,Small,One Year
640469,ekulos,male,5850811,12/3/2016,Small,One Year
640469,ekulos,male,5876180,12/3/2016,Small,One Year
7027136,PanteraLX,male,5881087,12/8/2016,Small,One Year
9160690,vbdx,male,5908434,8/24/2015,Small,One Year
6751418,adamtuuri,male,5927657,1/21/2015,Small,One Year
640469,ekulos,male,5991555,12/3/2016,Small,One Year
640469,ekulos,male,6049322,12/3/2016,Small,One Year
6635226,PeterAKlei,male,6076174,1/12/2015,Small,One Year
6988910,pfsj,male,6126312,2/17/2015,Small,One Year
7876037,ddemoray,male,6131297,11/7/2016,Small,One Year
6807772,bakkurt,male,6173850,1/27/2015,Small,One Year
11486422,VladislavSabila,male,6192289,5/13/2016,Small,One Year
11486422,VladislavSabila,male,6211419,5/13/2016,Small,One Year
640469,ekulos,male,6356568,12/3/2016,Small,One Year
8453106,akikun11,male,6436378,12/11/2015,Small,One Year
7688224,manuabalos,male,6477062,1/25/2016,Small,One Year
7688224,manuabalos,male,6478068,1/26/2016,Small,One Year
640469,ekulos,male,6608261,12/3/2016,Small,One Year
640469,ekulos,male,6625902,12/3/2016,Small,One Year
11619080,sukidog,male,6636172,2/27/2016,Small,One Year
11611740,lcrem,female,6670911,6/16/2016,Small,One Year
662341,pbomb,male,6813300,7/29/2016,Small,One Year
6655341,blowfishpro,male,6815957,10/17/2016,Small,One Year
6911633,fvella,male,6830135,6/6/2016,Small,One Year
6929685,benbieler,male,6953022,3/30/2016,Small,One Year
640469,ekulos,male,6962591,12/3/2016,Small,One Year
26107,jescalan,male,7082713,8/18/2015,Small,One Year
11486422,VladislavSabila,male,7093761,5/13/2016,Small,One Year
11486422,VladislavSabila,male,7104734,5/13/2016,Small,One Year
11998019,Spell28,male,7178317,5/11/2016,Small,One Year
11998019,Spell28,male,7178396,4/11/2016,Small,One Year
7876037,ddemoray,male,7260135,11/7/2016,Small,One Year
7886184,Richard-Hordijk,male,7275737,8/10/2016,Small,One Year
1725757,natoverse,male,7292495,7/29/2015,Small,One Year
7787803,irmantasp,male,7297213,9/6/2016,Small,One Year
7886184,Richard-Hordijk,male,7297659,8/10/2016,Small,One Year
640469,ekulos,male,7383141,12/3/2016,Small,One Year
640469,ekulos,male,7405077,12/3/2016,Small,One Year
640469,ekulos,male,7421910,12/3/2016,Small,One Year
11998019,Spell28,male,7424808,5/31/2016,Small,One Year
11486422,VladislavSabila,male,7428785,5/13/2016,Small,One Year
11486422,VladislavSabila,male,7443730,5/13/2016,Small,One Year
7630521,Akcakaya,male,7469895,10/5/2015,Small,One Year
7876037,ddemoray,male,7530612,11/7/2016,Small,One Year
7027136,PanteraLX,male,7534098,12/8/2016,Small,One Year
11486422,VladislavSabila,male,7536674,5/13/2016,Small,One Year
7027136,PanteraLX,male,7563413,12/8/2016,Small,One Year
7507261,mfeilner,male,7578596,3/25/2015,Small,One Year
7049515,smarsh-gl,male,7589081,7/20/2015,Small,One Year
